Date,Open,High,Low,Close,Adj Close,Volume
2014-07-22,2618.75,2681.25,2600.0,2618.75,1671.41748046875,232130800
2014-07-23,2625.0,2662.5,2612.5,2625.0,1675.406494140625,56408400
2014-07-24,2612.5,2631.25,2593.75,2612.5,1667.428466796875,111699200
2014-07-25,2562.5,2587.5,2537.5,2562.5,1635.5159912109375,155539600
2014-08-04,2568.75,2568.75,2506.25,2568.75,1639.5052490234375,154489200
2014-08-05,2600.0,2600.0,2543.75,2600.0,1659.4505615234375,73754000
2014-08-06,2568.75,2587.5,2556.25,2568.75,1639.5052490234375,88148800
2014-08-07,2550.0,2562.5,2512.5,2550.0,1627.5379638671875,94302400
2014-08-08,2550.0,2556.25,2537.5,2550.0,1627.5379638671875,59980800
2014-08-11,2618.75,2625.0,2568.75,2618.75,1671.41748046875,67873600
2014-08-12,2625.0,2637.5,2606.25,2625.0,1675.406494140625,129655600
2014-08-13,2625.0,2625.0,2587.5,2625.0,1675.406494140625,52008000
2014-08-14,2618.75,2631.25,2612.5,2618.75,1671.41748046875,73004400
2014-08-15,2612.5,2625.0,2606.25,2612.5,1667.428466796875,23361600
2014-08-18,2618.75,2631.25,2606.25,2618.75,1671.41748046875,98694400
2014-08-19,2631.25,2637.5,2618.75,2631.25,1679.3955078125,94816400
2014-08-20,2637.5,2643.75,2631.25,2637.5,1683.384765625,82936400
2014-08-21,2637.5,2656.25,2625.0,2637.5,1683.384765625,105621600
2014-08-22,2631.25,2662.5,2618.75,2631.25,1679.3955078125,85906400
2014-08-25,2643.75,2650.0,2612.5,2643.75,1687.3740234375,54252400
2014-08-26,2618.75,2650.0,2612.5,2618.75,1671.41748046875,54252000
2014-08-27,2637.5,2643.75,2625.0,2637.5,1683.384765625,62226400
2014-08-28,2631.25,2643.75,2612.5,2631.25,1679.3955078125,35008400
2014-08-29,2593.75,2637.5,2593.75,2593.75,1655.4613037109375,73210800
2014-09-01,2625.0,2625.0,2593.75,2625.0,1675.406494140625,24629200
2014-09-02,2625.0,2637.5,2625.0,2625.0,1675.406494140625,54608000
2014-09-03,2637.5,2643.75,2625.0,2637.5,1683.384765625,66228000
2014-09-04,2637.5,2650.0,2625.0,2637.5,1683.384765625,56440800
2014-09-05,2618.75,2650.0,2612.5,2618.75,1671.41748046875,44564800
2014-09-08,2637.5,2662.5,2612.5,2637.5,1683.384765625,57887200
2014-09-09,2618.75,2637.5,2612.5,2618.75,1671.41748046875,28824000
2014-09-10,2612.5,2625.0,2593.75,2612.5,1667.428466796875,82266000
2014-09-11,2600.0,2625.0,2593.75,2600.0,1659.4505615234375,113945600
2014-09-12,2550.0,2593.75,2550.0,2550.0,1627.5379638671875,129725600
2014-09-15,2556.25,2562.5,2512.5,2556.25,1631.5272216796875,88174800
2014-09-16,2537.5,2556.25,2531.25,2537.5,1619.559814453125,75382800
2014-09-17,2568.75,2587.5,2543.75,2568.75,1639.5052490234375,53077600
2014-09-18,2606.25,2612.5,2575.0,2606.25,1663.4393310546875,49814000
2014-09-19,2631.25,2650.0,2606.25,2631.25,1679.3955078125,105775600
2014-09-22,2662.5,2662.5,2618.75,2662.5,1699.341064453125,107543200
2014-09-23,2675.0,2675.0,2643.75,2675.0,1707.3189697265625,95076400
2014-09-24,2637.5,2662.5,2637.5,2637.5,1683.384765625,44105200
2014-09-25,2631.25,2662.5,2581.25,2631.25,1679.3955078125,158243200
2014-09-26,2512.5,2550.0,2506.25,2512.5,1603.6036376953125,250778800
2014-09-29,2518.75,2525.0,2456.25,2518.75,1607.5926513671875,155296800
2014-09-30,2518.75,2543.75,2500.0,2518.75,1607.5926513671875,122798400
2014-10-01,2525.0,2593.75,2518.75,2525.0,1611.58154296875,89411200
2014-10-02,2475.0,2543.75,2475.0,2475.0,1579.6690673828125,143686400
2014-10-03,2412.5,2493.75,2387.5,2412.5,1539.778564453125,165436800
2014-10-06,2456.25,2462.5,2412.5,2456.25,1567.701904296875,97244800
2014-10-07,2437.5,2475.0,2431.25,2437.5,1555.7347412109375,108166000
2014-10-08,2375.0,2425.0,2362.5,2375.0,1515.8441162109375,248045200
2014-10-09,2387.5,2418.75,2387.5,2387.5,1523.822265625,75312400
2014-10-10,2387.5,2387.5,2337.5,2387.5,1523.822265625,101417600
2014-10-13,2350.0,2368.75,2331.25,2350.0,1499.8878173828125,127360400
2014-10-14,2362.5,2381.25,2325.0,2362.5,1507.8662109375,96061600
2014-10-15,2412.5,2425.0,2375.0,2412.5,1539.778564453125,89523600
2014-10-16,2412.5,2425.0,2375.0,2412.5,1539.778564453125,78677600
2014-10-17,2481.25,2525.0,2412.5,2481.25,1583.6583251953125,197240400
2014-10-20,2531.25,2550.0,2493.75,2531.25,1615.5709228515625,152256400
2014-10-21,2506.25,2537.5,2487.5,2506.25,1599.614501953125,66651200
2014-10-22,2525.0,2531.25,2500.0,2525.0,1611.58154296875,66994800
2014-10-23,2543.75,2550.0,2512.5,2543.75,1623.549072265625,72442400
