Date,Open,High,Low,Close,Adj Close,Volume
2014-05-16,2475.0,2525.0,2472.5,2512.5,1757.7586669921875,203206000
2014-05-19,2475.0,2575.0,2447.5,2475.0,1731.5233154296875,162291000
2014-05-20,2402.5,2475.0,2360.0,2402.5,1680.802001953125,120508600
2014-05-21,2405.0,2410.0,2367.5,2405.0,1682.5511474609375,68505600
2014-05-22,2430.0,2460.0,2412.5,2430.0,1700.041259765625,68060000
2014-05-23,2447.5,2447.5,2435.0,2447.5,1712.2843017578125,34008600
2014-05-26,2442.5,2455.0,2430.0,2442.5,1708.786376953125,14849800
2014-05-28,2475.0,2480.0,2442.5,2475.0,1731.5233154296875,60735200
2014-05-30,2387.5,2490.0,2387.5,2387.5,1670.3079833984375,79110800
2014-06-02,2390.0,2410.0,2355.0,2390.0,1672.056884765625,38899400
2014-06-03,2452.5,2460.0,2380.0,2452.5,1715.782470703125,46015600
2014-06-04,2450.0,2462.5,2447.5,2450.0,1714.0333251953125,30959600
2014-06-05,2450.0,2450.0,2427.5,2435.0,1703.5389404296875,30081200
2014-06-06,2415.0,2450.0,2407.5,2415.0,1689.5472412109375,61931200
2014-06-09,2375.0,2427.5,2370.0,2375.0,1661.56298828125,49345400
2014-06-10,2432.5,2455.0,2395.0,2432.5,1701.7901611328125,43506600
2014-06-11,2440.0,2457.5,2425.0,2440.0,1707.037353515625,27348600
2014-06-12,2405.0,2440.0,2397.5,2405.0,1682.5511474609375,17402200
2014-06-13,2415.0,2420.0,2400.0,2415.0,1689.5472412109375,12124400
2014-06-16,2412.5,2427.5,2400.0,2412.5,1687.79833984375,19810000
2014-06-17,2450.0,2460.0,2392.5,2450.0,1714.0333251953125,36706400
2014-06-18,2450.0,2465.0,2440.0,2450.0,1714.0333251953125,37770000
2014-06-19,2417.5,2460.0,2405.0,2417.5,1691.296142578125,25871000
2014-06-20,2410.0,2430.0,2390.0,2410.0,1686.049072265625,16796400
2014-06-23,2390.0,2415.0,2390.0,2390.0,1672.056884765625,41108200
2014-06-24,2390.0,2402.5,2385.0,2390.0,1672.056884765625,39547400
2014-06-25,2392.5,2420.0,2375.0,2392.5,1673.8057861328125,31758000
2014-06-26,2395.0,2400.0,2382.5,2395.0,1675.5548095703125,50957200
2014-06-27,2385.0,2392.5,2377.5,2385.0,1668.5589599609375,31449600
2014-06-30,2382.5,2385.0,2370.0,2382.5,1666.8099365234375,55943400
2014-07-01,2392.5,2397.5,2380.0,2392.5,1673.8057861328125,28682400
2014-07-02,2400.0,2402.5,2395.0,2400.0,1679.0531005859375,28201600
2014-07-03,2372.5,2392.5,2372.5,2372.5,1659.81396484375,69442800
2014-07-04,2375.0,2382.5,2370.0,2375.0,1661.56298828125,39342400
2014-07-07,2422.5,2422.5,2375.0,2422.5,1694.7940673828125,98303800
